vehiculo,bloque_coste,categoria_coste,dimension_coste,partida,unidad,year,valor,valor_eur,unidad_estandarizada
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,combustible,eur,2020,"33.640,26",33640.26,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,combustible,eur,2021,"38.429,48",38429.48,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,combustible,eur,2022,"57.555,97",57555.97,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,combustible,eur,2023,"50.491,47",50491.47,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,combustible,eur,2024,"46.984,81",46984.81,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2017,"1.638,71",1638.71,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2018,"1.669,00",1669.0,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2019,"1.696,11",1696.11,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2020,"1.723,27",1723.27,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2021,"1.761,18",1761.18,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2022,"1.828,87",1828.87,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2023,"1.944,47",1944.47,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,consumo de disolución de urea,eur,2024,"2.027,99",2027.99,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2017,"5.396,23",5396.23,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2018,"5.416,49",5416.49,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2019,"5.388,17",5388.17,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2020,"5.462,52",5462.52,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2021,"5.567,93",5567.93,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2022,"6.069,51",6069.51,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2023,"6.677,71",6677.71,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,neumáticos,eur,2024,"6.861,70",6861.7,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2017,"1.787,55",1787.55,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2018,"1.820,61",1820.61,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2019,"1.850,16",1850.16,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2020,"1.879,83",1879.83,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2021,"1.921,14",1921.14,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2022,"1.995,00",1995.0,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2023,"2.121,09",2121.09,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,mantenimiento,eur,2024,"2.212,23",2212.23,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2017,"3.518,88",3518.88,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2018,"3.583,95",3583.95,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2019,"3.642,18",3642.18,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2020,"3.700,47",3700.47,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2021,"3.781,89",3781.89,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2022,"3.927,21",3927.21,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2023,"4.175,49",4175.49,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,reparaciones,eur,2024,"4.354,83",4354.83,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2017,"13.804,41",13804.41,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2018,"14.069,92",14069.92,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2019,"14.287,34",14287.34,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2020,"14.485,16",14485.16,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2021,"14.756,00",14756.0,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2022,"14.967,38",14967.38,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2023,"15.506,67",15506.67,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,dietas,eur,2024,"16.331,91",16331.91,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2017,"1.888,49",1888.49,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2018,"1.922,05",1922.05,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2019,"1.955,51",1955.51,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2020,"1.953,06",1953.06,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2021,"1.967,52",1967.52,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2022,"2.083,49",2083.49,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2023,"2.214,72",2214.72,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes kilométricos,peajes,eur,2024,"2.282,59",2282.59,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2017,"7.608,23",7608.23,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2018,"7.915,01",7915.01,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2019,"7.956,97",7956.97,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2020,"7.736,00",7736.0,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2021,"8.140,10",8140.1,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2022,"9.562,61",9562.61,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2023,"9.481,78",9481.78,eur/año
vehículo articulado de carga general,costes totales anuales,costes indirectos,nan,nan,eur,2024,"9.533,09",9533.09,eur/año
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2017,"0,1301",0.1301,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2018,"0,1316",0.1316,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes por tiempo,amortización del vehículo,eur/vehículo-km,2019,"0,1328",0.1328,eur/vehículo-km
