Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones)
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,10.83
2017,Aragón,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.68
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,1.26
2017,Aragón,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,64.55
2017,Aragón,Transporte Intrarregional,Intramunicipal,Abonos,2.18
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Químicos,1.43
2017,Aragón,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",25.59
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,267.83
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,444.9
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,42.7
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,121.09
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,20.14
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,11.42
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,318.61
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,58.65
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,47.51
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",222.87
2017,Aragón,Transporte Interregional,Expedido,Productos Agrícolas Y Animales Vivos,814.01
2017,Aragón,Transporte Interregional,Expedido,Productos Alimenticios Y Forrajes,1650.15
2017,Aragón,Transporte Interregional,Expedido,Productos Petrolíferos,45.83
2017,Aragón,Transporte Interregional,Expedido,Minerales Y Residuos Para Refundición,107.37
2017,Aragón,Transporte Interregional,Expedido,Productos Metalúrgicos,322.1
2017,Aragón,Transporte Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1022.26
2017,Aragón,Transporte Interregional,Expedido,Abonos,177.83
2017,Aragón,Transporte Interregional,Expedido,Productos Químicos,382.89
2017,Aragón,Transporte Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2529.64
2017,Aragón,Transporte Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1000.0
2017,Aragón,Transporte Interregional,Recibido,Productos Alimenticios Y Forrajes,1434.61
2017,Aragón,Transporte Interregional,Recibido,Combustibles Minerales Sólidos,59.53
2017,Aragón,Transporte Interregional,Recibido,Productos Petrolíferos,147.12
2017,Aragón,Transporte Interregional,Recibido,Minerales Y Residuos Para Refundición,216.61
2017,Aragón,Transporte Interregional,Recibido,Productos Metalúrgicos,300.84
2017,Aragón,Transporte Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,469.12
2017,Aragón,Transporte Interregional,Recibido,Abonos,201.69
2017,Aragón,Transporte Interregional,Recibido,Productos Químicos,981.01
2017,Aragón,Transporte Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1943.37
2017,Aragón,Transporte Internacional,Expedido,Productos Agrícolas Y Animales Vivos,201.8
2017,Aragón,Transporte Internacional,Expedido,Productos Alimenticios Y Forrajes,292.17
2017,Aragón,Transporte Internacional,Expedido,Combustibles Minerales Sólidos,9.67
2017,Aragón,Transporte Internacional,Expedido,Minerales Y Residuos Para Refundición,20.38
2017,Aragón,Transporte Internacional,Expedido,Productos Metalúrgicos,121.03
2017,Aragón,Transporte Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,165.63
2017,Aragón,Transporte Internacional,Expedido,Abonos,29.57
2017,Aragón,Transporte Internacional,Expedido,Productos Químicos,320.74
2017,Aragón,Transporte Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1014.29
2017,Aragón,Transporte Internacional,Recibido,Productos Agrícolas Y Animales Vivos,312.56
2017,Aragón,Transporte Internacional,Recibido,Productos Alimenticios Y Forrajes,158.76
2017,Aragón,Transporte Internacional,Recibido,Minerales Y Residuos Para Refundición,92.19
2017,Aragón,Transporte Internacional,Recibido,Productos Metalúrgicos,42.1
2017,Aragón,Transporte Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1.93
2017,Aragón,Transporte Internacional,Recibido,Productos Químicos,455.48
2017,Aragón,Transporte Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",891.8
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,5.62
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,6.33
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Combustibles Minerales Sólidos,5.89
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,1.21
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,14.1
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,4.94
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,55.23
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Abonos,0.12
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,Productos Químicos,0.57
2017,"Asturias, Principado de",Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",3.81
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,92.28
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,98.11
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,74.57
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,47.56
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,42.42
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,32.0
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,192.26
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,6.04
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,24.33
2017,"Asturias, Principado de",Transporte Intrarregional,Intermunicipal Intrarregional,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",56.54
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Productos Agrícolas Y Animales Vivos,271.4
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Productos Alimenticios Y Forrajes,632.08
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Combustibles Minerales Sólidos,264.21
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Productos Petrolíferos,53.2
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Minerales Y Residuos Para Refundición,78.18
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Productos Metalúrgicos,601.41
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,107.74
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Abonos,134.76
2017,"Asturias, Principado de",Transporte Interregional,Expedido,Productos Químicos,322.75
2017,"Asturias, Principado de",Transporte Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",418.63
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Productos Agrícolas Y Animales Vivos,333.19
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Productos Alimenticios Y Forrajes,648.12
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Combustibles Minerales Sólidos,57.23
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Productos Petrolíferos,87.75
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Minerales Y Residuos Para Refundición,79.17
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Productos Metalúrgicos,216.39
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,307.33
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Abonos,8.0
2017,"Asturias, Principado de",Transporte Interregional,Recibido,Productos Químicos,148.46
2017,"Asturias, Principado de",Transporte Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",603.88
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Productos Alimenticios Y Forrajes,42.29
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Combustibles Minerales Sólidos,55.68
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Productos Metalúrgicos,259.17
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,6.1
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Abonos,7.91
2017,"Asturias, Principado de",Transporte Internacional,Expedido,Productos Químicos,68.23
2017,"Asturias, Principado de",Transporte Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",99.17
2017,"Asturias, Principado de",Transporte Internacional,Recibido,Productos Agrícolas Y Animales Vivos,60.1
2017,"Asturias, Principado de",Transporte Internacional,Recibido,Productos Alimenticios Y Forrajes,140.17
2017,"Asturias, Principado de",Transporte Internacional,Recibido,Productos Metalúrgicos,55.06
2017,"Asturias, Principado de",Transporte Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,20.49
2017,"Asturias, Principado de",Transporte Internacional,Recibido,Productos Químicos,94.03
2017,"Asturias, Principado de",Transporte Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",50.06
2017,Cantabria,Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,1.07
