year,ccaa,tipo,subtipo,mercancia,ton-km
2017,aragón,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,42700000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,121090000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,20140000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,11420000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,318610000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,abonos,58650000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos químicos,47510000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",222870000.0
2017,aragón,transporte interregional,expedido,productos agrícolas y animales vivos,814010000.0
2017,aragón,transporte interregional,expedido,productos alimenticios y forrajes,1650150000.0
2017,aragón,transporte interregional,expedido,productos petrolíferos,45830000.0
2017,aragón,transporte interregional,expedido,minerales y residuos para refundición,107370000.0
2017,aragón,transporte interregional,expedido,productos metalúrgicos,322100000.0
2017,aragón,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,1022260000.0
2017,aragón,transporte interregional,expedido,abonos,177830000.0
2017,aragón,transporte interregional,expedido,productos químicos,382890000.0
2017,aragón,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2529640000.0
2017,aragón,transporte interregional,recibido,productos agrícolas y animales vivos,1000000000.0
2017,aragón,transporte interregional,recibido,productos alimenticios y forrajes,1434610000.0
2017,aragón,transporte interregional,recibido,combustibles minerales sólidos,59530000.0
2017,aragón,transporte interregional,recibido,productos petrolíferos,147120000.0
2017,aragón,transporte interregional,recibido,minerales y residuos para refundición,216610000.0
2017,aragón,transporte interregional,recibido,productos metalúrgicos,300840000.0
2017,aragón,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,469120000.0
2017,aragón,transporte interregional,recibido,abonos,201690000.0
2017,aragón,transporte interregional,recibido,productos químicos,981010000.0
2017,aragón,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",1943370000.0
2017,aragón,transporte internacional,expedido,productos agrícolas y animales vivos,201800000.0
2017,aragón,transporte internacional,expedido,productos alimenticios y forrajes,292170000.0
2017,aragón,transporte internacional,expedido,combustibles minerales sólidos,9670000.0
2017,aragón,transporte internacional,expedido,minerales y residuos para refundición,20380000.0
2017,aragón,transporte internacional,expedido,productos metalúrgicos,121030000.0
2017,aragón,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,165630000.0
2017,aragón,transporte internacional,expedido,abonos,29570000.0
2017,aragón,transporte internacional,expedido,productos químicos,320740000.0
2017,aragón,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",1014290000.0
2017,aragón,transporte internacional,recibido,productos agrícolas y animales vivos,312560000.0
2017,aragón,transporte internacional,recibido,productos alimenticios y forrajes,158760000.0
2017,aragón,transporte internacional,recibido,minerales y residuos para refundición,92190000.0
2017,aragón,transporte internacional,recibido,productos metalúrgicos,42100000.0
2017,aragón,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,1930000.0
2017,aragón,transporte internacional,recibido,productos químicos,455480000.0
2017,aragón,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",891800000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,5620000.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos alimenticios y forrajes,6330000.0
