year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,andalucía,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,41.1
2017,andalucía,transporte internacional,recibido,abonos,millones de toneladas-kilómetro,12.61
2017,andalucía,transporte internacional,recibido,productos químicos,millones de toneladas-kilómetro,262.03
2017,andalucía,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,1058.7
2017,aragón,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,millones de toneladas-kilómetro,11.43
2017,aragón,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,millones de toneladas-kilómetro,9.4
2017,aragón,transporte intrarregional,intramunicipal,productos petrolíferos,millones de toneladas-kilómetro,10.83
2017,aragón,transporte intrarregional,intramunicipal,minerales y residuos para refundición,millones de toneladas-kilómetro,0.68
2017,aragón,transporte intrarregional,intramunicipal,productos metalúrgicos,millones de toneladas-kilómetro,1.26
2017,aragón,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,64.55
2017,aragón,transporte intrarregional,intramunicipal,abonos,millones de toneladas-kilómetro,2.18
2017,aragón,transporte intrarregional,intramunicipal,productos químicos,millones de toneladas-kilómetro,1.43
2017,aragón,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,25.59
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,millones de toneladas-kilómetro,267.83
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,millones de toneladas-kilómetro,444.9
2017,aragón,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,millones de toneladas-kilómetro,42.7
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,millones de toneladas-kilómetro,121.09
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,millones de toneladas-kilómetro,20.14
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,millones de toneladas-kilómetro,11.42
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,318.61
2017,aragón,transporte intrarregional,intermunicipal intrarregional,abonos,millones de toneladas-kilómetro,58.65
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos químicos,millones de toneladas-kilómetro,47.51
2017,aragón,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,222.87
2017,aragón,transporte interregional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,814.01
