vehiculo,year,partida,coste_partida_eur_km,coste_total_eur_km,pct_partida
vehículo articulado de carga general,2022,seguros,0.0545,1.3056,0.041743259803921566
vehículo articulado de carga general,2023,amortización del vehículo,0.1444,1.2947,0.11153162894879123
vehículo articulado de carga general,2023,combustible,0.4208,1.2947,0.3250173785432919
vehículo articulado de carga general,2023,consumo de disolución de urea,0.0162,1.2947,0.012512551170155248
vehículo articulado de carga general,2023,costes fiscales,0.0073,1.2947,0.005638371823588477
vehículo articulado de carga general,2023,dietas,0.1292,1.2947,0.09979145748049742
vehículo articulado de carga general,2023,financiación del vehículo,0.0431,1.2947,0.03328956515022785
vehículo articulado de carga general,2023,mantenimiento,0.0177,1.2947,0.013671120722947402
vehículo articulado de carga general,2023,nan,0.079,1.2947,0.06101799644705337
vehículo articulado de carga general,2023,neumáticos,0.0556,1.2947,0.042944311423495786
vehículo articulado de carga general,2023,peajes,0.0185,1.2947,0.014289024484436549
vehículo articulado de carga general,2023,personal de conducción - salarios,0.2718,1.2947,0.20993280296593805
vehículo articulado de carga general,2023,reparaciones,0.0348,1.2947,0.02687881362477794
vehículo articulado de carga general,2023,seguros,0.0563,1.2947,0.0434849772147988
vehículo articulado de carga general,2024,amortización del vehículo,0.1477,1.3015,0.11348444102958125
vehículo articulado de carga general,2024,combustible,0.3915,1.3015,0.3008067614291202
vehículo articulado de carga general,2024,consumo de disolución de urea,0.0169,1.3015,0.012985017287744908
vehículo articulado de carga general,2024,costes fiscales,0.0075,1.3015,0.005762581636573184
vehículo articulado de carga general,2024,dietas,0.1361,1.3015,0.10457164809834806
vehículo articulado de carga general,2024,financiación del vehículo,0.0443,1.3015,0.03403764886669228
vehículo articulado de carga general,2024,mantenimiento,0.0184,1.3015,0.014137533615059546
vehículo articulado de carga general,2024,nan,0.0794,1.3015,0.06100653092585478
vehículo articulado de carga general,2024,neumáticos,0.0572,1.3015,0.04394928928159815
