Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,País Vasco,Intrarregional,Intramunicipal,Abonos,0.1,12.78
2017,País Vasco,Intrarregional,Intramunicipal,Productos Químicos,1.85,127.49
2017,País Vasco,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",13.53,2914.69
2017,País Vasco,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,106.19,2284.75
2017,País Vasco,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,147.04,2678.9
2017,País Vasco,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,18.31,973.5
2017,País Vasco,Intrarregional,Intermunicipal,Productos Petrolíferos,117.0,1709.07
2017,País Vasco,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,82.08,2534.7
2017,País Vasco,Intrarregional,Intermunicipal,Productos Metalúrgicos,265.81,4963.56
2017,País Vasco,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,296.91,11681.33
2017,País Vasco,Intrarregional,Intermunicipal,Abonos,2.75,244.01
2017,País Vasco,Intrarregional,Intermunicipal,Productos Químicos,36.04,700.62
2017,País Vasco,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",397.58,8258.99
2017,País Vasco,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,497.89,2324.99
2017,País Vasco,Interregional,Expedido,Productos Alimenticios Y Forrajes,1272.54,3686.61
2017,País Vasco,Interregional,Expedido,Combustibles Minerales Sólidos,38.7,250.1
2017,País Vasco,Interregional,Expedido,Productos Petrolíferos,263.46,1435.3
2017,País Vasco,Interregional,Expedido,Minerales Y Residuos Para Refundición,178.72,543.74
2017,País Vasco,Interregional,Expedido,Productos Metalúrgicos,1694.79,4359.36
2017,País Vasco,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,300.27,1191.97
2017,País Vasco,Interregional,Expedido,Abonos,65.17,411.74
2017,País Vasco,Interregional,Expedido,Productos Químicos,405.42,1392.07
2017,País Vasco,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2811.19,7193.42
2017,País Vasco,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,649.12,1598.63
2017,País Vasco,Interregional,Recibido,Productos Alimenticios Y Forrajes,1545.17,4808.24
2017,País Vasco,Interregional,Recibido,Combustibles Minerales Sólidos,14.39,45.93
2017,País Vasco,Interregional,Recibido,Productos Petrolíferos,67.82,311.85
2017,País Vasco,Interregional,Recibido,Minerales Y Residuos Para Refundición,764.83,2133.8
2017,País Vasco,Interregional,Recibido,Productos Metalúrgicos,668.68,1971.24
2017,País Vasco,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,933.02,4703.9
2017,País Vasco,Interregional,Recibido,Abonos,37.13,205.72
2017,País Vasco,Interregional,Recibido,Productos Químicos,414.05,1248.24
2017,País Vasco,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2488.48,7090.97
2017,País Vasco,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,114.14,157.48
2017,País Vasco,Internacional,Expedido,Productos Alimenticios Y Forrajes,218.62,262.07
2017,País Vasco,Internacional,Expedido,Productos Petrolíferos,131.23,334.83
2017,País Vasco,Internacional,Expedido,Minerales Y Residuos Para Refundición,13.97,14.79
2017,País Vasco,Internacional,Expedido,Productos Metalúrgicos,360.02,432.64
2017,País Vasco,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,45.22,112.25
2017,País Vasco,Internacional,Expedido,Productos Químicos,116.16,294.4
2017,País Vasco,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1420.32,1624.56
2017,País Vasco,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,159.32,516.7
2017,País Vasco,Internacional,Recibido,Productos Alimenticios Y Forrajes,308.22,297.85
2017,País Vasco,Internacional,Recibido,Minerales Y Residuos Para Refundición,190.58,280.55
2017,País Vasco,Internacional,Recibido,Productos Metalúrgicos,328.81,377.95
2017,País Vasco,Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,29.36,53.94
2017,País Vasco,Internacional,Recibido,Productos Químicos,152.79,315.06
2017,País Vasco,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1184.88,1314.84
2017,"Rioja, La",Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,0.29,98.5
2017,"Rioja, La",Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,0.49,74.95
2017,"Rioja, La",Intrarregional,Intramunicipal,Productos Petrolíferos,0.08,25.87
2017,"Rioja, La",Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.11,11.01
2017,"Rioja, La",Intrarregional,Intramunicipal,Productos Metalúrgicos,0.06,14.47
2017,"Rioja, La",Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,6.13,926.1
2017,"Rioja, La",Intrarregional,Intramunicipal,Abonos,1.4,347.84
2017,"Rioja, La",Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2.4,332.32
2017,"Rioja, La",Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,8.71,263.69
2017,"Rioja, La",Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,9.18,200.23
2017,"Rioja, La",Intrarregional,Intermunicipal,Productos Petrolíferos,2.09,123.13
2017,"Rioja, La",Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,2.0,91.41
2017,"Rioja, La",Intrarregional,Intermunicipal,Productos Metalúrgicos,0.96,22.11
2017,"Rioja, La",Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,35.84,1693.2
2017,"Rioja, La",Intrarregional,Intermunicipal,Abonos,8.98,309.57
2017,"Rioja, La",Intrarregional,Intermunicipal,Productos Químicos,0.88,37.44
2017,"Rioja, La",Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",17.75,505.79
2017,"Rioja, La",Interregional,Expedido,Productos Agrícolas Y Animales Vivos,218.62,868.24
2017,"Rioja, La",Interregional,Expedido,Productos Alimenticios Y Forrajes,563.62,1810.06
2017,"Rioja, La",Interregional,Expedido,Productos Petrolíferos,11.12,29.51
2017,"Rioja, La",Interregional,Expedido,Minerales Y Residuos Para Refundición,20.29,124.3
2017,"Rioja, La",Interregional,Expedido,Productos Metalúrgicos,60.7,159.34
2017,"Rioja, La",Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,98.9,858.45
2017,"Rioja, La",Interregional,Expedido,Abonos,31.31,175.22
2017,"Rioja, La",Interregional,Expedido,Productos Químicos,23.1,129.13
2017,"Rioja, La",Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",466.23,1865.08
2017,"Rioja, La",Interregional,Recibido,Productos Agrícolas Y Animales Vivos,153.07,542.19
2017,"Rioja, La",Interregional,Recibido,Productos Alimenticios Y Forrajes,350.57,1996.33
2017,"Rioja, La",Interregional,Recibido,Productos Petrolíferos,36.65,154.2
2017,"Rioja, La",Interregional,Recibido,Minerales Y Residuos Para Refundición,2.27,23.79
2017,"Rioja, La",Interregional,Recibido,Productos Metalúrgicos,114.77,310.03
2017,"Rioja, La",Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,68.2,825.92
2017,"Rioja, La",Interregional,Recibido,Abonos,45.68,264.14
2017,"Rioja, La",Interregional,Recibido,Productos Químicos,67.87,189.92
2017,"Rioja, La",Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",394.0,1421.11
2017,"Rioja, La",Internacional,Expedido,Productos Agrícolas Y Animales Vivos,14.44,16.88
2017,"Rioja, La",Internacional,Expedido,Productos Alimenticios Y Forrajes,33.09,40.04
2017,"Rioja, La",Internacional,Expedido,Productos Petrolíferos,31.18,30.14
2017,"Rioja, La",Internacional,Expedido,Productos Metalúrgicos,3.82,8.48
2017,"Rioja, La",Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,29.55,59.49
2017,"Rioja, La",Internacional,Expedido,Productos Químicos,24.0,40.88
2017,"Rioja, La",Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",131.71,184.98
2017,"Rioja, La",Internacional,Recibido,Productos Agrícolas Y Animales Vivos,50.33,68.67
2017,"Rioja, La",Internacional,Recibido,Productos Alimenticios Y Forrajes,55.67,37.05
2017,"Rioja, La",Internacional,Recibido,Productos Metalúrgicos,54.89,48.92
2017,"Rioja, La",Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,20.3,45.64
2017,"Rioja, La",Internacional,Recibido,Abonos,21.29,14.48
2017,"Rioja, La",Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",114.83,175.57
2018,Andalucía,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,33.76,3013.01
2018,Andalucía,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,30.82,3510.04
2018,Andalucía,Intrarregional,Intramunicipal,Productos Petrolíferos,15.03,1060.65
2018,Andalucía,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,8.98,579.2
2018,Andalucía,Intrarregional,Intramunicipal,Productos Metalúrgicos,0.18,27.24
2018,Andalucía,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,245.94,28725.88
2018,Andalucía,Intrarregional,Intramunicipal,Abonos,5.19,522.23
2018,Andalucía,Intrarregional,Intramunicipal,Productos Químicos,2.95,405.63
2018,Andalucía,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",27.79,3853.54
2018,Andalucía,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,1350.66,13668.14
2018,Andalucía,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,3161.29,27426.95
2018,Andalucía,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,35.12,509.96
2018,Andalucía,Intrarregional,Intermunicipal,Productos Petrolíferos,663.69,7095.69
2018,Andalucía,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,132.33,2452.84
2018,Andalucía,Intrarregional,Intermunicipal,Productos Metalúrgicos,222.64,2725.24
2018,Andalucía,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2768.18,54103.16
2018,Andalucía,Intrarregional,Intermunicipal,Abonos,233.97,2715.42
2018,Andalucía,Intrarregional,Intermunicipal,Productos Químicos,236.97,3198.23
2018,Andalucía,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1750.57,16195.65
2018,Andalucía,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,3354.81,6107.75
2018,Andalucía,Interregional,Expedido,Productos Alimenticios Y Forrajes,3134.88,6893.66
2018,Andalucía,Interregional,Expedido,Combustibles Minerales Sólidos,12.05,33.46
2018,Andalucía,Interregional,Expedido,Productos Petrolíferos,176.14,422.17
2018,Andalucía,Interregional,Expedido,Minerales Y Residuos Para Refundición,200.05,508.15
2018,Andalucía,Interregional,Expedido,Productos Metalúrgicos,753.51,1154.52
2018,Andalucía,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1142.53,2759.02
2018,Andalucía,Interregional,Expedido,Abonos,313.38,688.07
2018,Andalucía,Interregional,Expedido,Productos Químicos,681.82,1002.56
2018,Andalucía,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2625.83,4769.81
2018,Andalucía,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1542.73,4117.52
2018,Andalucía,Interregional,Recibido,Productos Alimenticios Y Forrajes,4241.62,9015.39
2018,Andalucía,Interregional,Recibido,Combustibles Minerales Sólidos,52.56,161.97
2018,Andalucía,Interregional,Recibido,Productos Petrolíferos,267.97,968.13
2018,Andalucía,Interregional,Recibido,Minerales Y Residuos Para Refundición,175.92,291.42
2018,Andalucía,Interregional,Recibido,Productos Metalúrgicos,781.82,1609.44
2018,Andalucía,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1011.58,2056.93
2018,Andalucía,Interregional,Recibido,Abonos,253.35,637.63
2018,Andalucía,Interregional,Recibido,Productos Químicos,1064.68,1936.11
2018,Andalucía,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",5588.86,9164.62
2018,Andalucía,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,6290.64,3606.72
2018,Andalucía,Internacional,Expedido,Productos Alimenticios Y Forrajes,739.4,504.06
2018,Andalucía,Internacional,Expedido,Combustibles Minerales Sólidos,24.91,46.38
2018,Andalucía,Internacional,Expedido,Productos Petrolíferos,78.5,341.59
2018,Andalucía,Internacional,Expedido,Minerales Y Residuos Para Refundición,16.22,30.07
2018,Andalucía,Internacional,Expedido,Productos Metalúrgicos,113.43,62.59
2018,Andalucía,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,164.61,437.92
2018,Andalucía,Internacional,Expedido,Abonos,64.26,107.18
2018,Andalucía,Internacional,Expedido,Productos Químicos,52.42,61.12
2018,Andalucía,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",657.18,461.22
2018,Andalucía,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,501.08,457.55
2018,Andalucía,Internacional,Recibido,Productos Alimenticios Y Forrajes,685.01,503.56
2018,Andalucía,Internacional,Recibido,Combustibles Minerales Sólidos,6.96,15.13
2018,Andalucía,Internacional,Recibido,Productos Petrolíferos,24.97,28.58
2018,Andalucía,Internacional,Recibido,Minerales Y Residuos Para Refundición,36.12,151.8
2018,Andalucía,Internacional,Recibido,Productos Metalúrgicos,194.14,191.47
2018,Andalucía,Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,103.33,96.05
2018,Andalucía,Internacional,Recibido,Abonos,22.62,14.41
2018,Andalucía,Internacional,Recibido,Productos Químicos,107.51,110.41
2018,Andalucía,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1096.37,693.12
2018,Aragón,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,4.71,627.4
2018,Aragón,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,7.74,871.52
2018,Aragón,Intrarregional,Intramunicipal,Productos Petrolíferos,4.98,330.17
2018,Aragón,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,1.71,163.78
2018,Aragón,Intrarregional,Intramunicipal,Productos Metalúrgicos,1.33,142.1
2018,Aragón,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,62.72,7315.47
2018,Aragón,Intrarregional,Intramunicipal,Abonos,1.66,289.76
2018,Aragón,Intrarregional,Intramunicipal,Productos Químicos,1.86,122.98
2018,Aragón,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",31.31,3640.82
2018,Aragón,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,208.45,3413.42
2018,Aragón,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,391.24,6135.94
2018,Aragón,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,18.56,662.99
2018,Aragón,Intrarregional,Intermunicipal,Productos Petrolíferos,73.08,1140.85
2018,Aragón,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,25.51,374.15
2018,Aragón,Intrarregional,Intermunicipal,Productos Metalúrgicos,22.34,381.09
2018,Aragón,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,409.81,12928.3
2018,Aragón,Intrarregional,Intermunicipal,Abonos,35.52,469.03
2018,Aragón,Intrarregional,Intermunicipal,Productos Químicos,49.09,1535.85
2018,Aragón,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",259.72,4534.55
2018,Aragón,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,874.87,3563.02
2018,Aragón,Interregional,Expedido,Productos Alimenticios Y Forrajes,1466.98,5331.88
2018,Aragón,Interregional,Expedido,Productos Petrolíferos,17.93,91.12
2018,Aragón,Interregional,Expedido,Minerales Y Residuos Para Refundición,140.38,484.18
2018,Aragón,Interregional,Expedido,Productos Metalúrgicos,258.5,749.35
2018,Aragón,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1134.19,5098.38
2018,Aragón,Interregional,Expedido,Abonos,135.87,407.56
2018,Aragón,Interregional,Expedido,Productos Químicos,481.89,1427.03
2018,Aragón,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2583.69,8056.83
2018,Aragón,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1099.2,4661.5
2018,Aragón,Interregional,Recibido,Productos Alimenticios Y Forrajes,1434.93,6382.3
2018,Aragón,Interregional,Recibido,Combustibles Minerales Sólidos,14.53,71.5
2018,Aragón,Interregional,Recibido,Productos Petrolíferos,89.92,561.37
2018,Aragón,Interregional,Recibido,Minerales Y Residuos Para Refundición,220.88,737.83
2018,Aragón,Interregional,Recibido,Productos Metalúrgicos,405.41,1211.73
2018,Aragón,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,484.65,2184.15
2018,Aragón,Interregional,Recibido,Abonos,157.99,728.84
2018,Aragón,Interregional,Recibido,Productos Químicos,940.04,2758.83
2018,Aragón,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1999.96,6725.7
2018,Aragón,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,189.64,190.02
2018,Aragón,Internacional,Expedido,Productos Alimenticios Y Forrajes,323.81,368.09
2018,Aragón,Internacional,Expedido,Productos Petrolíferos,8.06,16.38
2018,Aragón,Internacional,Expedido,Minerales Y Residuos Para Refundición,14.23,15.38
2018,Aragón,Internacional,Expedido,Productos Metalúrgicos,124.16,110.51
2018,Aragón,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,130.64,217.96
2018,Aragón,Internacional,Expedido,Abonos,10.89,15.55
2018,Aragón,Internacional,Expedido,Productos Químicos,231.46,254.24
2018,Aragón,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1028.98,949.14
2018,Aragón,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,643.37,1344.71
2018,Aragón,Internacional,Recibido,Productos Alimenticios Y Forrajes,203.43,259.78
2018,Aragón,Internacional,Recibido,Minerales Y Residuos Para Refundición,51.99,45.16
2018,Aragón,Internacional,Recibido,Productos Metalúrgicos,140.62,107.07
2018,Aragón,Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,47.9,42.85
2018,Aragón,Internacional,Recibido,Abonos,17.24,11.11
2018,Aragón,Internacional,Recibido,Productos Químicos,385.05,517.04
2018,Aragón,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",950.42,781.27
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,1.62,547.79
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,2.52,243.36
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Combustibles Minerales Sólidos,0.76,320.0
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Petrolíferos,1.03,385.74
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,17.57,2258.5
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Metalúrgicos,8.65,1350.93
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,25.78,3269.0
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Abonos,0.08,27.35
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Químicos,0.87,74.68
2018,"Asturias, Principado de",Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",3.34,329.98
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,52.74,1004.8
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,116.38,2154.63
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,19.01,537.45
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Petrolíferos,31.97,794.99
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,71.28,1749.83
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Metalúrgicos,16.57,655.53
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,171.46,5306.58
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Abonos,0.66,20.83
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,Productos Químicos,37.56,566.45
2018,"Asturias, Principado de",Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",70.07,1607.58
2018,"Asturias, Principado de",Interregional,Expedido,Productos Agrícolas Y Animales Vivos,350.98,1100.22
2018,"Asturias, Principado de",Interregional,Expedido,Productos Alimenticios Y Forrajes,668.05,1452.8
2018,"Asturias, Principado de",Interregional,Expedido,Combustibles Minerales Sólidos,134.8,449.64
2018,"Asturias, Principado de",Interregional,Expedido,Productos Petrolíferos,98.87,481.08
2018,"Asturias, Principado de",Interregional,Expedido,Minerales Y Residuos Para Refundición,38.3,177.46
2018,"Asturias, Principado de",Interregional,Expedido,Productos Metalúrgicos,702.33,1562.7
2018,"Asturias, Principado de",Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,162.56,465.11
2018,"Asturias, Principado de",Interregional,Expedido,Abonos,177.59,592.8
2018,"Asturias, Principado de",Interregional,Expedido,Productos Químicos,277.69,822.66
2018,"Asturias, Principado de",Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",539.06,1323.77
2018,"Asturias, Principado de",Interregional,Recibido,Productos Agrícolas Y Animales Vivos,547.07,3631.01
2018,"Asturias, Principado de",Interregional,Recibido,Productos Alimenticios Y Forrajes,642.34,2094.92
2018,"Asturias, Principado de",Interregional,Recibido,Combustibles Minerales Sólidos,21.0,116.9
2018,"Asturias, Principado de",Interregional,Recibido,Productos Petrolíferos,114.35,414.97
2018,"Asturias, Principado de",Interregional,Recibido,Minerales Y Residuos Para Refundición,92.66,224.69
2018,"Asturias, Principado de",Interregional,Recibido,Productos Metalúrgicos,251.95,594.77
2018,"Asturias, Principado de",Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,260.34,1569.47
2018,"Asturias, Principado de",Interregional,Recibido,Abonos,13.5,49.53
2018,"Asturias, Principado de",Interregional,Recibido,Productos Químicos,246.36,626.35
2018,"Asturias, Principado de",Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",609.06,1379.11
2018,"Asturias, Principado de",Internacional,Expedido,Productos Agrícolas Y Animales Vivos,22.12,13.95
2018,"Asturias, Principado de",Internacional,Expedido,Productos Alimenticios Y Forrajes,88.68,54.53
2018,"Asturias, Principado de",Internacional,Expedido,Combustibles Minerales Sólidos,41.47,47.34
2018,"Asturias, Principado de",Internacional,Expedido,Minerales Y Residuos Para Refundición,8.35,15.56
2018,"Asturias, Principado de",Internacional,Expedido,Productos Metalúrgicos,239.56,279.34
2018,"Asturias, Principado de",Internacional,Expedido,Abonos,7.23,16.82
2018,"Asturias, Principado de",Internacional,Expedido,Productos Químicos,109.7,126.95
2018,"Asturias, Principado de",Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",107.94,104.09
2018,"Asturias, Principado de",Internacional,Recibido,Productos Agrícolas Y Animales Vivos,88.38,68.27
2018,"Asturias, Principado de",Internacional,Recibido,Productos Alimenticios Y Forrajes,121.08,91.48
2018,"Asturias, Principado de",Internacional,Recibido,Productos Metalúrgicos,40.88,43.4
2018,"Asturias, Principado de",Internacional,Recibido,Productos Químicos,67.49,69.88
2018,"Asturias, Principado de",Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",77.19,50.99
2018,Cantabria,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,0.2,27.1
2018,Cantabria,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,1.89,317.15
2018,Cantabria,Intrarregional,Intramunicipal,Productos Petrolíferos,0.32,25.36
2018,Cantabria,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,1.37,600.29
2018,Cantabria,Intrarregional,Intramunicipal,Productos Metalúrgicos,0.6,299.33
2018,Cantabria,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2.42,310.26
2018,Cantabria,Intrarregional,Intramunicipal,Abonos,0.07,5.12
2018,Cantabria,Intrarregional,Intramunicipal,Productos Químicos,0.08,7.66
2018,Cantabria,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1.13,218.99
2018,Cantabria,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,13.99,260.79
2018,Cantabria,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,46.02,996.66
2018,Cantabria,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,6.26,240.71
2018,Cantabria,Intrarregional,Intermunicipal,Productos Petrolíferos,7.26,136.59
2018,Cantabria,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,5.09,366.69
2018,Cantabria,Intrarregional,Intermunicipal,Productos Metalúrgicos,15.75,349.96
2018,Cantabria,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,162.2,8321.55
2018,Cantabria,Intrarregional,Intermunicipal,Abonos,1.5,114.87
2018,Cantabria,Intrarregional,Intermunicipal,Productos Químicos,8.72,320.47
2018,Cantabria,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",27.62,756.77
2018,Cantabria,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,321.6,1211.83
2018,Cantabria,Interregional,Expedido,Productos Alimenticios Y Forrajes,463.89,1507.22
2018,Cantabria,Interregional,Expedido,Combustibles Minerales Sólidos,1.11,13.87
2018,Cantabria,Interregional,Expedido,Productos Petrolíferos,42.41,199.35
2018,Cantabria,Interregional,Expedido,Minerales Y Residuos Para Refundición,41.41,126.33
2018,Cantabria,Interregional,Expedido,Productos Metalúrgicos,240.05,525.34
2018,Cantabria,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,131.86,2000.61
2018,Cantabria,Interregional,Expedido,Abonos,89.87,323.85
2018,Cantabria,Interregional,Expedido,Productos Químicos,193.56,684.46
2018,Cantabria,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",790.82,1969.27
2018,Cantabria,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,192.83,623.08
2018,Cantabria,Interregional,Recibido,Productos Alimenticios Y Forrajes,525.2,1702.78
