Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,Aragón,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.68,86.86
2017,Aragón,Intrarregional,Intramunicipal,Productos Metalúrgicos,1.26,105.51
2017,Aragón,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,64.55,6720.72
2017,Aragón,Intrarregional,Intramunicipal,Abonos,2.18,493.88
2017,Aragón,Intrarregional,Intramunicipal,Productos Químicos,1.43,79.75
2017,Aragón,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",25.59,2584.9
2017,Aragón,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,267.83,3743.87
2017,Aragón,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,444.9,6440.79
2017,Aragón,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,42.7,1813.23
2017,Aragón,Intrarregional,Intermunicipal,Productos Petrolíferos,121.09,2199.39
2017,Aragón,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,20.14,217.11
2017,Aragón,Intrarregional,Intermunicipal,Productos Metalúrgicos,11.42,205.65
2017,Aragón,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,318.61,8396.87
2017,Aragón,Intrarregional,Intermunicipal,Abonos,58.65,435.17
2017,Aragón,Intrarregional,Intermunicipal,Productos Químicos,47.51,681.62
2017,Aragón,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",222.87,4460.72
2017,Aragón,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,814.01,3589.84
2017,Aragón,Interregional,Expedido,Productos Alimenticios Y Forrajes,1650.15,5833.29
2017,Aragón,Interregional,Expedido,Productos Petrolíferos,45.83,299.3
2017,Aragón,Interregional,Expedido,Minerales Y Residuos Para Refundición,107.37,371.13
2017,Aragón,Interregional,Expedido,Productos Metalúrgicos,322.1,967.87
2017,Aragón,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1022.26,4279.94
2017,Aragón,Interregional,Expedido,Abonos,177.83,554.32
2017,Aragón,Interregional,Expedido,Productos Químicos,382.89,1125.68
2017,Aragón,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2529.64,7560.83
2017,Aragón,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1000.0,4016.08
2017,Aragón,Interregional,Recibido,Productos Alimenticios Y Forrajes,1434.61,6466.55
2017,Aragón,Interregional,Recibido,Combustibles Minerales Sólidos,59.53,156.47
2017,Aragón,Interregional,Recibido,Productos Petrolíferos,147.12,654.07
2017,Aragón,Interregional,Recibido,Minerales Y Residuos Para Refundición,216.61,741.4
2017,Aragón,Interregional,Recibido,Productos Metalúrgicos,300.84,919.58
2017,Aragón,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,469.12,1954.23
2017,Aragón,Interregional,Recibido,Abonos,201.69,937.85
2017,Aragón,Interregional,Recibido,Productos Químicos,981.01,2844.68
2017,Aragón,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1943.37,6087.59
2017,Aragón,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,201.8,194.76
2017,Aragón,Internacional,Expedido,Productos Alimenticios Y Forrajes,292.17,329.94
2017,Aragón,Internacional,Expedido,Combustibles Minerales Sólidos,9.67,11.38
2017,Aragón,Internacional,Expedido,Minerales Y Residuos Para Refundición,20.38,15.15
2017,Aragón,Internacional,Expedido,Productos Metalúrgicos,121.03,131.02
2017,Aragón,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,165.63,240.91
2017,Aragón,Internacional,Expedido,Abonos,29.57,36.7
2017,Aragón,Internacional,Expedido,Productos Químicos,320.74,295.62
2017,Aragón,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1014.29,919.23
2017,Aragón,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,312.56,809.87
2017,Aragón,Internacional,Recibido,Productos Alimenticios Y Forrajes,158.76,151.44
2017,Aragón,Internacional,Recibido,Minerales Y Residuos Para Refundición,92.19,82.69
2017,Aragón,Internacional,Recibido,Productos Metalúrgicos,42.1,34.52
2017,Aragón,Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1.93,3.66
2017,Aragón,Internacional,Recibido,Productos Químicos,455.48,594.78
2017,Aragón,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",891.8,712.28
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,5.62,623.6
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,6.33,877.01
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Combustibles Minerales Sólidos,5.89,1040.05
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Petrolíferos,1.21,151.92
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,14.1,1803.92
2017,"Asturias, Principado de",Intrarregional,Intramunicipal,Productos Metalúrgicos,4.94,601.4
