Año,Indice_Costes,Indice_Precios
2017,100.0,100.0
2018,104.03218534941531,101.81653042688465
2019,104.58368643285998,103.11837723281864
2020,101.67936327531753,103.81471389645776
2021,106.99060052001492,104.10233121404784
2022,125.68771380503901,118.19557977596125
2023,124.62521446684993,123.5392067817136
2024,125.2996679875076,123.22131395700879
