Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0139,1669.0
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0141,1696.11
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0144,1723.27
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0147,1761.18
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0152,1828.87
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0162,1944.47
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0169,2027.99
2017,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.045,5396.23
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0451,5416.49
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0449,5388.17
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0455,5462.52
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0464,5567.93
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0506,6069.51
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0556,6677.71
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0572,6861.7
2017,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0149,1787.55
2018,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0152,1820.61
2019,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0154,1850.16
2020,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0157,1879.83
2021,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.016,1921.14
2022,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0166,1995.0
2023,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0177,2121.09
2024,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0184,2212.23
2017,Articulado De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0293,3518.88
