Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2022,Rígido De 3 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0149,1413.8
2023,Rígido De 3 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0158,1502.86
2024,Rígido De 3 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0163,1548.9
2017,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0593,5633.91
2018,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0615,5842.18
2019,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0619,5883.09
2020,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0607,5762.95
2021,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0635,6028.75
2022,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0728,6912.45
2023,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0725,6892.03
2024,Rígido De 3 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0735,6984.01
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0649,5840.64
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0656,5906.07
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0662,5959.64
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0668,6011.47
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0675,6071.46
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0696,6264.35
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.072,6481.45
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0737,6631.1
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.01,899.31
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0091,817.88
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0095,858.81
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.009,808.35
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0093,836.71
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0114,1027.13
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0191,1715.59
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0196,1762.59
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3226,29034.38
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3288,29592.97
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3339,30051.09
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3385,30464.97
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3448,31034.57
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3498,31481.03
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3624,32615.33
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.3817,34351.12
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0439,3952.41
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0446,4016.68
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0456,4106.17
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0457,4113.87
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0461,4149.28
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0465,4189.12
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0481,4325.27
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.052,4684.49
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0071,634.71
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0072,645.98
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0073,657.23
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0073,656.41
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0073,661.27
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0078,700.24
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0083,744.36
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0085,767.15
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2068,18608.54
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2286,20574.58
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2252,20269.24
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2002,18021.57
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2287,20587.22
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3426,30833.56
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.3005,27049.0
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2797,25170.44
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0098,877.88
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0099,894.11
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0101,908.63
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0103,923.19
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0105,943.49
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0109,979.75
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0116,1041.69
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0121,1086.43
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0286,2574.69
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0287,2584.34
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0286,2570.82
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.029,2606.34
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0295,2656.62
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0322,2895.93
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0354,3186.13
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0364,3273.9
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0176,1583.57
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0179,1612.82
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0182,1639.04
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0185,1665.29
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0189,1701.9
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0196,1767.33
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0209,1879.02
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0218,1959.75
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0235,2111.33
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0239,2150.35
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0243,2185.27
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0247,2220.28
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0252,2269.13
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0262,2356.34
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0278,2505.29
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.029,2612.88
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.098,8817.32
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0999,8986.73
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1014,9125.43
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1028,9250.94
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1047,9423.9
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1062,9559.59
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1101,9904.57
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1159,10430.92
2017,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0135,1214.04
2018,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0137,1235.61
2019,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.014,1257.12
2020,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.014,1255.54
2021,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0141,1264.84
2022,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0149,1339.39
2023,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0158,1423.76
2024,Rígido De 2 Ejes De Carga General,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0163,1467.38
2017,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.055,4949.67
2018,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0571,5136.18
2019,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0575,5173.25
2020,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0563,5069.88
2021,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0589,5304.03
2022,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0675,6070.59
2023,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0671,6036.65
2024,Rígido De 2 Ejes De Carga General,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.068,6122.88
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0525,3673.39
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0531,3714.69
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0536,3748.66
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.054,3781.17
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0546,3818.72
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0563,3938.87
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0582,4073.96
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0595,4167.92
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0081,568.43
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0074,516.96
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0078,542.83
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0073,510.94
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0076,528.86
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0093,649.22
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0155,1084.38
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0159,1114.08
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4148,29034.38
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4228,29592.97
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4293,30051.09
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4352,30464.97
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4434,31034.57
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4497,31481.03
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4659,32615.33
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.4907,34351.12
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0502,3514.91
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.051,3572.07
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0522,3651.66
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0523,3658.5
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0527,3689.99
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0532,3725.42
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0549,3846.5
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Seguros,0.0595,4165.96
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0091,634.71
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0092,645.98
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0094,657.23
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0094,656.41
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0094,661.27
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.01,700.24
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.0106,744.36
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Tiempo(Vehiculo-Km),Costes Fiscales,0.011,767.15
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.1571,10999.72
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.1737,12161.86
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.1712,11981.38
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.1522,10652.75
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.1738,12169.34
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2604,18226.06
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2284,15988.96
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Combustible,0.2126,14878.53
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0074,518.92
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0076,528.52
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0077,537.1
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0078,545.7
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.008,557.71
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0083,579.14
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0088,615.75
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Disolución De Urea,0.0092,642.2
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0307,2147.35
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0308,2155.39
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0306,2144.11
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0311,2173.7
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0317,2215.66
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.0345,2415.27
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.038,2657.29
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Neumáticos,0.039,2730.49
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0106,738.97
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0108,752.61
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0109,764.87
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0111,777.11
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0113,794.2
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0118,824.71
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0125,876.86
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Mantenimiento,0.0131,914.5
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0176,1231.67
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0179,1254.42
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0182,1274.81
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0185,1295.23
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0189,1323.7
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0196,1374.59
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0209,1461.46
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Reparaciones,0.0218,1524.25
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0861,6027.2
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0878,6143.03
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0891,6237.89
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0903,6323.71
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.092,6441.95
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0934,6534.69
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.0967,6770.43
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1019,7130.32
2017,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.009,629.5
2018,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0092,640.68
2019,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0093,651.83
2020,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0093,651.02
2021,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0094,655.84
2022,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0099,694.5
2023,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0105,738.24
2024,Rígido De 2 Ejes De Distribución,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.0109,760.86
2017,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0555,3881.75
2018,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0573,4009.15
2019,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0578,4045.82
2020,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0571,3996.93
2021,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0593,4152.97
2022,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0661,4624.34
2023,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0664,4645.78
2024,Rígido De 2 Ejes De Distribución,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0679,4754.58
2017,Furgoneta,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0425,2122.65
2018,Furgoneta,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.0429,2146.09
