año,comunidad_origen,comunidad_destino,valor
2017,Galicia,Aragón,326.0
2017,Galicia,"Asturias, Principado de",471.43
2017,Galicia,Cantabria,176.79
2017,Galicia,Castilla - La Mancha,393.98
2017,Galicia,Castilla y León,1034.52
2017,Galicia,Cataluña,922.67
2017,Galicia,Comunitat Valenciana,436.94
2017,Galicia,Extremadura,64.34
2017,Galicia,Galicia,3950.12
2017,Galicia,"Madrid, Comunidad de",908.51
2017,Galicia,"Murcia, Región de",133.87
2017,Galicia,"Navarra, Comunidad Foral de",135.45
2017,Galicia,País Vasco,957.71
2017,Galicia,"Rioja, La",38.25
2017,"Madrid, Comunidad de",Andalucía,1991.15
2017,"Madrid, Comunidad de",Aragón,587.26
2017,"Madrid, Comunidad de","Asturias, Principado de",216.43
2017,"Madrid, Comunidad de",Cantabria,138.85
2017,"Madrid, Comunidad de",Castilla - La Mancha,884.15
2017,"Madrid, Comunidad de",Castilla y León,697.83
2017,"Madrid, Comunidad de",Cataluña,1561.74
2017,"Madrid, Comunidad de",Comunitat Valenciana,1436.03
2017,"Madrid, Comunidad de",Extremadura,341.95
2017,"Madrid, Comunidad de",Galicia,832.65
2017,"Madrid, Comunidad de","Madrid, Comunidad de",1430.46
2017,"Madrid, Comunidad de","Murcia, Región de",339.72
2017,"Madrid, Comunidad de","Navarra, Comunidad Foral de",171.85
2017,"Madrid, Comunidad de",País Vasco,706.6
2017,"Madrid, Comunidad de","Rioja, La",47.81
2017,"Murcia, Región de",Andalucía,1150.34
2017,"Murcia, Región de",Aragón,146.82
2017,"Murcia, Región de","Asturias, Principado de",46.03
2017,"Murcia, Región de",Cantabria,3.63
2017,"Murcia, Región de",Castilla - La Mancha,735.97
2017,"Murcia, Región de",Castilla y León,164.65
2017,"Murcia, Región de",Cataluña,614.33
2017,"Murcia, Región de",Comunitat Valenciana,1313.75
2017,"Murcia, Región de",Extremadura,49.96
2017,"Murcia, Región de",Galicia,147.07
2017,"Murcia, Región de","Madrid, Comunidad de",475.25
2017,"Murcia, Región de","Murcia, Región de",1050.15
2017,"Murcia, Región de","Navarra, Comunidad Foral de",124.21
2017,"Murcia, Región de",País Vasco,95.74
2017,"Murcia, Región de","Rioja, La",104.55
2017,"Navarra, Comunidad Foral de",Andalucía,344.51
2017,"Navarra, Comunidad Foral de",Aragón,340.63
2017,"Navarra, Comunidad Foral de","Asturias, Principado de",76.46
2017,"Navarra, Comunidad Foral de",Cantabria,51.3
2017,"Navarra, Comunidad Foral de",Castilla - La Mancha,98.68
2017,"Navarra, Comunidad Foral de",Castilla y León,297.78
2017,"Navarra, Comunidad Foral de",Cataluña,433.62
2017,"Navarra, Comunidad Foral de",Comunitat Valenciana,306.84
2017,"Navarra, Comunidad Foral de",Extremadura,28.34
2017,"Navarra, Comunidad Foral de",Galicia,166.49
2017,"Navarra, Comunidad Foral de","Madrid, Comunidad de",246.23
2017,"Navarra, Comunidad Foral de","Murcia, Región de",77.73
2017,"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de",482.53
2017,"Navarra, Comunidad Foral de",País Vasco,420.25
2017,"Navarra, Comunidad Foral de","Rioja, La",68.65
2017,País Vasco,Andalucía,704.2
2017,País Vasco,Aragón,714.34
2017,País Vasco,"Asturias, Principado de",259.4
2017,País Vasco,Cantabria,237.67
2017,País Vasco,Castilla - La Mancha,405.78
2017,País Vasco,Castilla y León,1115.55
2017,País Vasco,Cataluña,983.53
2017,País Vasco,Comunitat Valenciana,794.29
2017,País Vasco,Extremadura,38.55
2017,País Vasco,Galicia,796.36
2017,País Vasco,"Madrid, Comunidad de",622.21
2017,País Vasco,"Murcia, Región de",170.87
2017,País Vasco,"Navarra, Comunidad Foral de",574.39
2017,País Vasco,País Vasco,1518.87
2017,País Vasco,"Rioja, La",88.37
2017,"Rioja, La",Andalucía,108.75
2017,"Rioja, La",Aragón,127.05
2017,"Rioja, La","Asturias, Principado de",12.88
2017,"Rioja, La",Cantabria,51.99
2017,"Rioja, La",Castilla - La Mancha,146.43
2017,"Rioja, La",Castilla y León,105.5
2017,"Rioja, La",Cataluña,351.26
2017,"Rioja, La",Comunitat Valenciana,167.14
2017,"Rioja, La",Extremadura,4.45
2017,"Rioja, La",Galicia,33.19
2017,"Rioja, La","Madrid, Comunidad de",108.8
2017,"Rioja, La","Murcia, Región de",78.29
2017,"Rioja, La","Navarra, Comunidad Foral de",71.49
2017,"Rioja, La",País Vasco,126.69
2017,"Rioja, La","Rioja, La",97.34
2018,Andalucía,Andalucía,10926.06
2018,Andalucía,Aragón,239.82
2018,Andalucía,"Asturias, Principado de",128.06
2018,Andalucía,Cantabria,73.64
2018,Andalucía,Castilla - La Mancha,1129.94
2018,Andalucía,Castilla y León,929.05
2018,Andalucía,Cataluña,2291.49
2018,Andalucía,Comunitat Valenciana,2691.33
2018,Andalucía,Extremadura,974.53
2018,Andalucía,Galicia,440.18
2018,Andalucía,"Madrid, Comunidad de",1696.62
2018,Andalucía,"Murcia, Región de",803.92
2018,Andalucía,"Navarra, Comunidad Foral de",296.74
2018,Andalucía,País Vasco,664.49
2018,Andalucía,"Rioja, La",30.64
2018,Aragón,Andalucía,508.58
2018,Aragón,Aragón,1611.32
2018,Aragón,"Asturias, Principado de",76.8
2018,Aragón,Cantabria,91.29
2018,Aragón,Castilla - La Mancha,513.13
2018,Aragón,Castilla y León,506.94
2018,Aragón,Cataluña,1828.16
2018,Aragón,Comunitat Valenciana,1407.78
2018,Aragón,Extremadura,50.01
2018,Aragón,Galicia,322.91
2018,Aragón,"Madrid, Comunidad de",679.85
2018,Aragón,"Murcia, Región de",195.3
2018,Aragón,"Navarra, Comunidad Foral de",250.42
2018,Aragón,País Vasco,505.33
2018,Aragón,"Rioja, La",118.44
