Año,Precio Medio,Indice_Precio_Mercado
2017,132.12,100.0
2018,134.52,101.81653042688465
2019,136.24,103.11837723281864
2020,137.16,103.81471389645776
2021,137.54000000000002,104.10233121404784
2022,156.16,118.19557977596125
2023,163.22,123.5392067817136
2024,162.8,123.22131395700879
