Año,CCAA,Provincia,Tipo,Funcion,Superficie_m2
2017,Andalucía,Córdoba,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Granada,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Granada,Almacenes transporte,Almacén paquetería,45187.0
2017,Andalucía,Granada,Almacenes transporte,Almacén transportista,22584.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución base alimentaria,163555.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,3600.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,12400.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución / varios,3000.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,2000.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria alimentación y bebidas,40500.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria non food gran consumo,5000.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria / varios,29900.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,6612.0
2017,Andalucía,Granada,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Frigorífico de servicios,1000.0
2017,Andalucía,Granada,Instalaciones especializadas,Almacén farmacéutico,35000.0
2017,Andalucía,Granada,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén paquetería,8545.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén transportista,23925.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución base alimentaria,27320.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución / varios,5000.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria alimentación y bebidas,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. industria / varios,0.0
2017,Andalucía,Huelva,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,15595.0
2017,Andalucía,Huelva,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Huelva,Instalaciones especializadas,Frigorífico de servicios,6000.0
2017,Andalucía,Huelva,Instalaciones especializadas,Almacén farmacéutico,2989.0
2017,Andalucía,Huelva,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Huelva,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Huelva,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Jaén,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Jaén,Almacenes transporte,Almacén paquetería,38833.0
2017,Andalucía,Jaén,Almacenes transporte,Almacén transportista,20000.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución base alimentaria,54676.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,3500.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,4100.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución material construcción,2000.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. distribución / varios,4000.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,2100.0
2017,Andalucía,Jaén,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria alimentación y bebidas,3500.0
2017,Andalucía,Jaén,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
