Año,CCAA,Toneladas(miles),Superficie_m2,Saturacion_Ton_por_m2
2023,Andalucía,271066.27,3159314.0,85.79909119511387
2023,Aragón,113221.64,1196504.0,94.62704679633332
2023,"Asturias, Principado de",46604.63,305918.0,152.34353650324596
2023,Cantabria,36607.66,314909.0,116.24837651512024
2023,Castilla - La Mancha,142673.72999999998,5359235.0,26.62203280878707
2023,Castilla y León,147034.77000000002,1205863.0,121.93322956256227
2023,Cataluña,288676.1,8288554.0,34.82828247243126
2023,Comunitat Valenciana,274306.4,3532550.0,77.65110189523149
2023,Extremadura,50007.14,181099.0,276.1315081806084
2023,Galicia,106413.45,1403016.0,75.84621273028961
2023,"Madrid, Comunidad de",160661.52000000002,4808197.0,33.41408848264745
2023,"Murcia, Región de",88110.37,1153668.0,76.37411282968758
2023,"Navarra, Comunidad Foral de",50343.08,488445.0,103.06806293441431
2023,País Vasco,103362.81,1373467.0,75.25685728160924
2023,"Rioja, La",22048.11,423369.0,52.07776195233945
2024,Andalucía,271708.48,3260428.0,83.3352185663968
2024,Aragón,118722.77,1192504.0,99.5575444610668
2024,"Asturias, Principado de",42139.75,314618.0,133.93941223960485
2024,Cantabria,36484.23,314209.0,116.11452886454558
2024,Castilla - La Mancha,153970.37,5615765.0,27.417523703360093
2024,Castilla y León,158987.15,1272323.0,124.9581670692112
2024,Cataluña,305695.75,8366408.0,36.538470273025176
2024,Comunitat Valenciana,277550.24,3622740.0,76.61334790793708
2024,Extremadura,46332.97,183099.0,253.0487331989798
2024,Galicia,108917.90000000001,1421530.0,76.62019092104987
2024,"Madrid, Comunidad de",165484.69,4864274.0,34.02042935903693
2024,"Murcia, Región de",97030.06999999999,1172668.0,82.7430014292195
2024,"Navarra, Comunidad Foral de",52882.54,487445.0,108.48924494045482
2024,País Vasco,103584.97,1373985.0,75.39017529303449
2024,"Rioja, La",21821.52,464415.0,46.98711281935338
