año,comunidad_origen,comunidad_destino,valor
2017,Extremadura,"Rioja, La",41.62
2017,Galicia,Andalucía,546.79
2017,Galicia,Aragón,404.89
2017,Galicia,"Asturias, Principado de",3116.96
2017,Galicia,Cantabria,415.58
2017,Galicia,Castilla - La Mancha,586.89
2017,Galicia,Castilla y León,3325.63
2017,Galicia,Cataluña,867.37
2017,Galicia,Comunitat Valenciana,455.45
2017,Galicia,Extremadura,92.15
2017,Galicia,Galicia,80291.02
2017,Galicia,"Madrid, Comunidad de",1555.27
2017,Galicia,"Murcia, Región de",129.06
2017,Galicia,"Navarra, Comunidad Foral de",190.36
2017,Galicia,País Vasco,1661.86
2017,Galicia,"Rioja, La",62.36
2017,"Madrid, Comunidad de",Andalucía,3817.15
2017,"Madrid, Comunidad de",Aragón,1801.0
2017,"Madrid, Comunidad de","Asturias, Principado de",445.18
2017,"Madrid, Comunidad de",Cantabria,315.88
2017,"Madrid, Comunidad de",Castilla - La Mancha,9468.2
2017,"Madrid, Comunidad de",Castilla y León,3450.69
2017,"Madrid, Comunidad de",Cataluña,2532.23
2017,"Madrid, Comunidad de",Comunitat Valenciana,3805.47
2017,"Madrid, Comunidad de",Extremadura,1101.61
2017,"Madrid, Comunidad de",Galicia,1378.02
2017,"Madrid, Comunidad de","Madrid, Comunidad de",57467.92
2017,"Madrid, Comunidad de","Murcia, Región de",827.27
2017,"Madrid, Comunidad de","Navarra, Comunidad Foral de",430.97
2017,"Madrid, Comunidad de",País Vasco,1642.39
2017,"Madrid, Comunidad de","Rioja, La",125.4
2017,"Murcia, Región de",Andalucía,4649.42
2017,"Murcia, Región de",Aragón,260.57
2017,"Murcia, Región de","Asturias, Principado de",53.38
2017,"Murcia, Región de",Cantabria,4.27
2017,"Murcia, Región de",Castilla - La Mancha,2585.02
2017,"Murcia, Región de",Castilla y León,257.48
2017,"Murcia, Región de",Cataluña,975.4
2017,"Murcia, Región de",Comunitat Valenciana,9853.45
2017,"Murcia, Región de",Extremadura,84.31
2017,"Murcia, Región de",Galicia,143.76
2017,"Murcia, Región de","Madrid, Comunidad de",1140.94
2017,"Murcia, Región de","Murcia, Región de",33657.6
2017,"Murcia, Región de","Navarra, Comunidad Foral de",190.01
2017,"Murcia, Región de",País Vasco,120.78
2017,"Murcia, Región de","Rioja, La",151.17
2017,"Navarra, Comunidad Foral de",Andalucía,411.15
2017,"Navarra, Comunidad Foral de",Aragón,2255.91
2017,"Navarra, Comunidad Foral de","Asturias, Principado de",153.95
2017,"Navarra, Comunidad Foral de",Cantabria,211.95
2017,"Navarra, Comunidad Foral de",Castilla - La Mancha,244.79
2017,"Navarra, Comunidad Foral de",Castilla y León,1446.62
2017,"Navarra, Comunidad Foral de",Cataluña,986.68
2017,"Navarra, Comunidad Foral de",Comunitat Valenciana,628.54
2017,"Navarra, Comunidad Foral de",Extremadura,41.63
2017,"Navarra, Comunidad Foral de",Galicia,233.07
2017,"Navarra, Comunidad Foral de","Madrid, Comunidad de",655.3
2017,"Navarra, Comunidad Foral de","Murcia, Región de",116.14
2017,"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de",16097.55
2017,"Navarra, Comunidad Foral de",País Vasco,3950.97
2017,"Navarra, Comunidad Foral de","Rioja, La",1493.6
2017,País Vasco,Andalucía,780.81
2017,País Vasco,Aragón,2421.36
2017,País Vasco,"Asturias, Principado de",819.2
2017,País Vasco,Cantabria,1861.03
2017,País Vasco,Castilla - La Mancha,838.44
2017,País Vasco,Castilla y León,5064.44
2017,País Vasco,Cataluña,1685.11
2017,País Vasco,Comunitat Valenciana,1222.59
2017,País Vasco,Extremadura,53.35
2017,País Vasco,Galicia,1300.59
2017,País Vasco,"Madrid, Comunidad de",1440.6
2017,País Vasco,"Murcia, Región de",214.96
2017,País Vasco,"Navarra, Comunidad Foral de",4266.77
2017,País Vasco,País Vasco,43859.2
2017,País Vasco,"Rioja, La",783.67
2017,"Rioja, La",Andalucía,131.09
2017,"Rioja, La",Aragón,751.89
2017,"Rioja, La","Asturias, Principado de",31.65
2017,"Rioja, La",Cantabria,232.67
2017,"Rioja, La",Castilla - La Mancha,376.47
2017,"Rioja, La",Castilla y León,579.75
2017,"Rioja, La",Cataluña,811.52
2017,"Rioja, La",Comunitat Valenciana,327.42
2017,"Rioja, La",Extremadura,6.49
2017,"Rioja, La",Galicia,55.71
2017,"Rioja, La","Madrid, Comunidad de",318.38
2017,"Rioja, La","Murcia, Región de",115.25
2017,"Rioja, La","Navarra, Comunidad Foral de",1104.27
2017,"Rioja, La",País Vasco,1176.74
2017,"Rioja, La","Rioja, La",5077.62
2018,Andalucía,Andalucía,171788.69
2018,Andalucía,Aragón,285.14
2018,Andalucía,"Asturias, Principado de",135.86
2018,Andalucía,Cantabria,84.5
2018,Andalucía,Castilla - La Mancha,2981.16
2018,Andalucía,Castilla y León,1409.58
2018,Andalucía,Cataluña,2472.69
2018,Andalucía,Comunitat Valenciana,4875.59
2018,Andalucía,Extremadura,3986.6
2018,Andalucía,Galicia,462.48
2018,Andalucía,"Madrid, Comunidad de",3355.9
2018,Andalucía,"Murcia, Región de",3038.27
2018,Andalucía,"Navarra, Comunidad Foral de",353.21
2018,Andalucía,País Vasco,742.47
2018,Andalucía,"Rioja, La",34.64
2018,Aragón,Andalucía,644.14
